S,id,areaname,parentid,shortname,level,sort,lng,lat,pop,GDP
35,542200,商丘市,410000,商丘,2,12,115.650497,34.437054,,
36,360600,南通市,320000,南通,2,5,120.864609,32.016212,,
37,522300,盐城市,320000,盐城,2,11,120.139999,33.377632,,
38,711100,驻马店市,410000,驻马店,2,18,114.024734,32.980167,,
39,341300,佛山市,440000,佛山,2,4,113.122719,23.028763,,
40,341200,衡阳市,430000,衡阳,2,4,112.607697,26.900358,,
41,152500,沧州市,130000,沧州,2,2,116.85746,38.310581,713.4062,
42,131100,福州市,350000,福州,2,1,119.306236,26.075302,727,
43,500100,邢台市,130000,邢台,2,10,114.50885,37.068199,,
44,430600,邵阳市,430000,邵阳,2,7,111.469231,27.237843,,
45,211300,长沙市,430000,长沙,2,2,112.982277,28.19409,,
46,711900,湛江市,440000,湛江,2,19,110.364975,21.274899,,
47,650100,烟台市,370000,烟台,2,15,121.39138,37.539295,,
48,361100,济南市,370000,济南,2,5,117.000923,36.675808,,
49,331100,大连市,210000,大连,2,4,121.618622,38.914589,,
50,530700,南宁市,450000,南宁,2,11,108.320007,22.82402,,
51,441700,上饶市,360000,上饶,2,8,117.971184,28.44442,,
52,430400,洛阳市,410000,洛阳,2,7,112.434471,34.66304,,
53,220400,毕节市,520000,毕节,2,2,105.285011,27.301693,,
54,431200,昆明市,530000,昆明,2,7,102.71225,25.040609,,
55,460100,无锡市,320000,无锡,2,9,120.301666,31.57473,,
56,632800,南充市,510000,南充,2,14,106.082977,30.79528,,
57,320500,黄冈市,420000,黄冈,2,3,114.879364,30.447712,,
58,469030,遵义市,520000,遵义,2,9,106.937263,27.706627,,
59,620200,信阳市,410000,信阳,2,13,114.075027,32.123276,,
60,460200,台州市,330000,台州,2,9,121.428596,28.661379,,
61,469025,揭阳市,440000,揭阳,2,9,116.355736,23.543777,,
62,610300,曲靖市,530000,曲靖,2,12,103.797852,25.501556,,
63,511500,茂名市,440000,茂名,2,10,110.919228,21.659752,,
64,441800,聊城市,370000,聊城,2,8,115.98037,36.456013,,
65,140500,常德市,430000,常德,2,1,111.691345,29.040224,571.7218,
66,632100,新乡市,410000,新乡,2,14,113.883987,35.302616,,
67,429021,合肥市,340000,合肥,2,7,117.283043,31.861191,,
68,411200,荆州市,420000,荆州,2,6,112.238129,30.326857,,
69,522600,六安市,340000,六安,2,11,116.507675,31.75289,,
70,211000,德州市,370000,德州,2,2,116.307426,37.453968,,
71,620300,襄阳市,420000,襄阳,2,13,112.14415,32.042427,,
72,542100,泰安市,370000,泰安,2,12,117.129066,36.194969,,
73,632600,玉林市,450000,玉林,2,14,110.154396,22.631359,,
74,542400,岳阳市,430000,岳阳,2,12,113.132858,29.370291,,
75,341700,达州市,510000,达州,2,4,107.502258,31.209484,,
76,510900,宜春,360000,宜春,2,10,114.391136,27.8043,,
77,533300,绥化市,230000,绥化,2,12,126.992928,46.637394,,
78,620500,汕头市,440000,汕头,2,13,116.708466,23.371019,,
79,451400,齐齐哈尔市,230000,齐齐哈尔,2,9,123.957916,47.342079,,
80,340400,金华市,330000,金华,2,4,119.649506,29.089523,,
81,611000,宿州市,340000,宿州,2,13,116.984085,33.633892,,
82,131000,安庆市,340000,安庆,2,1,117.043549,30.508829,447.2667,
83,420500,渭南市,610000,渭南,2,6,109.502884,34.499382,,
84,659003,昭通市,530000,昭通,2,16,103.717216,27.337,,
85,530500,永州市,430000,永州,2,11,111.608017,26.434517,,
